企业名称,线索id,线索标题,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还1着2,0表示0店了）",线索是否下架
上海润米科技有限公司,32638395,90分官方旗舰店游乐者大容量行李箱女2023新款28寸旅行拉杆箱结实,https://item.taobao.com/item.htm?id=761372984382,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32719021,90分官方旗舰店行李箱女旅行箱高颜值学生网红新款静音结实耐用男,https://item.taobao.com/item.htm?id=761373324600,197430,90,90分行李箱企业店,90分行李箱企业店,https://shop170182910.taobao.com,2024/7/11 10:36,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638414,90分官方旗舰店韩版行李箱女拉杆箱男学生旅行箱万向轮皮箱子大容,https://item.taobao.com/item.htm?id=761477193899,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638288,90分官方旗舰店20寸登机箱前置开口行李箱女小型轻便多功能充电旅,https://item.taobao.com/item.htm?id=761477845751,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638372,90分官方旗舰店可登机前置开口行李箱男女拉杆箱18寸静音铝框密码,https://item.taobao.com/item.htm?id=761477893007,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32818329,90分官方旗舰店行李箱女2023新款20寸登机箱小型轻便密码箱24男耐,https://item.taobao.com/item.htm?id=761478769975,197430,90,旁刻网店,90分箱包企业店,https://shop170182910.taobao.com,2024/7/18 11:13,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638381,90分官方旗舰店行李箱女2023新款拉杆箱大容量20寸小型旅行密码皮,https://item.taobao.com/item.htm?id=761479193223,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638571,90分官方旗舰店扩展行李箱大容量旅行箱pc耐磨拉杆箱女24寸静音密,https://item.taobao.com/item.htm?id=761479365664,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:42,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638521,90分官方旗舰店出口日本登机超轻行李箱20静音万向轮女24寸密码拉,https://item.taobao.com/item.htm?id=761509726258,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:42,2023/12/11 14:03,1,未下架
上海润米科技有限公司,32638575,90分官方旗舰店行李箱女新款20寸结实耐用大容量旅行登机拉杆箱密,https://item.taobao.com/item.htm?id=761545607576,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:42,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32818608,90分官方旗舰店行李箱男女学生密码箱静音万向轮拉杆箱18登机旅行,https://item.taobao.com/item.htm?id=761545635606,197430,90,旁刻网店,90分箱包企业店,https://shop170182910.taobao.com,2024/7/18 11:31,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638272,90分官方旗舰店行李箱女小型20寸拉杆箱万向轮登机箱24寸男学生密,https://item.taobao.com/item.htm?id=761546355088,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
上海润米科技有限公司,32638401,90分官方旗舰店行李箱ins网红女新款拉杆箱旅行男24寸大容量密码,https://item.taobao.com/item.htm?id=761546463463,197430,90,90分  行李箱企业店,90分  行李箱企业店,https://shop170182910.taobao.com,2024/7/3 11:39,2023/12/11 14:03,1,已下架
