企业名称,线索id,线索标题,线索链接,作品ID,作品名,维权状态,掌柜名,店铺名,店铺链接,线索入库时间,店铺状态,开店时间,店铺类型
山下有松（北京）文化传播有限公司,32162810,山下有松新版锁扣中号菜篮子设计师款大容量真皮通勤斜挎水桶包女,https://item.taobao.com/item.htm?id=771184974399&skuId=5452322466775,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 17:26,0,,未知
山下有松（北京）文化传播有限公司,32162813,山下有松元宝包春季新款菜篮子mini包牛皮手提单肩斜挎迷你小方包,https://item.taobao.com/item.htm?id=771227570569&skuId=5285627601714,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 17:26,0,,未知
山下有松（北京）文化传播有限公司,32162822,【山下有松】头层牛皮菜篮子新款设计师大容量单肩斜跨手提水桶包,https://item.taobao.com/item.htm?id=783651759425&skuId=5353911853139,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 17:28,0,,未知
山下有松（北京）文化传播有限公司,32163036,山下有松新款挂耳系列屋檐包设计牛皮通勤小方包手提斜挎hobo包,https://item.taobao.com/item.htm?id=760166844164&skuId=5239087056604,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 17:39,0,,未知
山下有松（北京）文化传播有限公司,32163344,山下有松新版锁扣小号菜篮子设计师款大容量真皮通勤斜挎水桶包女,https://item.taobao.com/item.htm?id=790900124504&skuId=5568157947627,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 18:34,0,,未知
山下有松（北京）文化传播有限公司,32163355,【卢昱晓同款】山下有松新款循迹系列中号见物旅行包植鞣皮公文包,https://item.taobao.com/item.htm?id=793891464767&skuId=5587628226049,199423,Songmont,维权成功,辛德瑞拉的小包铺,songmont折扣店,https://shop212205755.taobao.com,2024/5/10 18:36,0,,未知
山下有松（北京）文化传播有限公司,32559729,Songmont山下有松挂耳系列屋檐包大设计师新款通勤手提斜挎hobo包,https://item.taobao.com/item.htm?id=803348417422,199423,Songmont,维权成功,小众设计山下木公,小众设计山下木公,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTC3hS66rYKP2y68ViynJCkMayNXyCvMhEnNKan3azMnd,2024/6/28 22:39,0,,未知
山下有松（北京）文化传播有限公司,32559675,Songmont山下有松挂耳系列mini屋檐包春夏头层牛皮通勤斜挎hobo包,https://item.taobao.com/item.htm?id=803416236489,199423,Songmont,维权成功,小众设计山下木公,小众设计山下木公,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTC3hS66rYKP2y68ViynJCkMayNXyCvMhEnNKan3azMnd,2024/6/28 22:39,0,,未知
山下有松（北京）文化传播有限公司,32572947,【山下有松】挂耳系列屋檐包新款头层牛皮通勤手提斜挎包枕头包,https://item.taobao.com/item.htm?id=807725465383,199423,Songmont,维权成功,小悦代购店,小悦代购店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMyA4BtVwPzG7E7jdbzUprEGKsQdnhmjGt8G9CLDFXZrV,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32572940,【山下有松】董洁推荐麂皮挂耳托特包设计师款慵懒通勤单肩斜挎包,https://item.taobao.com/item.htm?id=807727077561,199423,Songmont,维权成功,小悦代购店,小悦代购店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMyA4BtVwPzG7E7jdbzUprEGKsQdnhmjGt8G9CLDFXZrV,2024/6/30 9:48,0,,未知
