企业名称,线索id,线索标题,线索是否下架,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还开着2,0表示关店了）"
圣智学习（北京）教育科技有限公司,32885259,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=815957970492,200468,通途英语 听说与思辩 1,凡尘1239,成千书屋,https://shop62789427.taobao.com,2024/7/22 13:23,2010/9/15 14:11,1
圣智学习（北京）教育科技有限公司,32885260,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=816636335029,200468,通途英语 听说与思辩 1,aa7105981,拾光小书屋,https://shop126200362.taobao.com,2024/7/22 13:23,2015/7/3 19:05,1
圣智学习（北京）教育科技有限公司,32948429,通途英语听说与思辨1,已下架,https://item.taobao.com/item.htm?id=816745927804,200468,通途英语 听说与思辩 1,优雅雅依伊,五湖四海图书,https://shop150965039.taobao.com,2024/7/26 17:07,2016/3/19 13:14,1
圣智学习（北京）教育科技有限公司,33099416,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=817190397414,200468,通途英语 听说与思辩 1,天武商贸有限公司,夏听书屋,https://shop126111624.taobao.com,2024/8/11 17:22,2015/7/2 12:37,1
圣智学习（北京）教育科技有限公司,33038400,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰教育,已下架,https://item.taobao.com/item.htm?id=817302352850,200468,通途英语 听说与思辩 1,天武商贸有限公司,夏听书屋,https://shop126111624.taobao.com,2024/8/5 17:06,2015/7/2 12:37,1
圣智学习（北京）教育科技有限公司,32885197,通途英语听说与思辨1,已下架,https://item.taobao.com/item.htm?id=817418613066,200468,通途英语 听说与思辩 1,lj84669126,古典书行自营店,https://shop34492924.taobao.com,2024/7/22 13:22,2007/5/16 15:02,1
圣智学习（北京）教育科技有限公司,32919345,通途英语听说与思辨1,已下架,https://item.taobao.com/item.htm?id=817957434438,200468,通途英语 听说与思辩 1,yaya5330,远方读物,https://shop58764747.taobao.com,2024/7/24 16:04,2009/7/17 10:09,1
圣智学习（北京）教育科技有限公司,32885258,二手通途英语听说与思辨1程晓堂江苏教育出版社9787549997985,已下架,https://item.taobao.com/item.htm?id=818012913080,200468,通途英语 听说与思辩 1,学霸有文化,有路网旧书 茧书城,https://shop594073513.taobao.com,2024/7/22 13:23,2019/12/20 9:41,1
圣智学习（北京）教育科技有限公司,32948420,二手正版通途英语听说与思辨1程晓堂江苏教育出版社97875499979,已下架,https://item.taobao.com/item.htm?id=818512601480,200468,通途英语 听说与思辩 1,tb302973304,真便宜二手书城,https://shop184889301.taobao.com,2024/7/26 17:05,2020/3/10 23:16,1
圣智学习（北京）教育科技有限公司,32963715,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=819754145202,200468,通途英语 听说与思辩 1,爆款名店厂家直销,新希望书店65,https://shop103164271.taobao.com,2024/7/28 17:07,2013/3/31 19:16,1
